#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,012  ,92010,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,116774.99,0,,58817.75
2025,012  ,9204 ,13199  ,RETRIBUCIONS PERSONAL LABORAL TEMPORAL-SUPLÈNCIES ,,9    ,1     ,20000,0,,22295.27
2025,012  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,90702.48,0,,55760.86
2025,0111 ,925  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,129204.99,0,,92163.72
2025,0111 ,9207 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,272615.72,0,,184512.76
2025,011  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,15137.28,0,,13148.58
2025,031  ,171  ,634    ,INVERSIÓ ELEMENTS DE TRANSPORT                    ,031,171  ,634   ,20000,185739,,17425.16
2025,051  ,2412 ,22799  ,CONTR PREST SERVEIS -FORMACIÓ I OCUPACIÓ          ,051,2412 ,22799 ,58150,195549.83,,150794.65
2025,052  ,430  ,22799  ,CONTR PREST SERVEIS DINAMITZACIÓ COMERCIAL        ,052,43   ,22    ,55000,0,,937.08
2025,061  ,3411 ,227993 ,DESP DIVERSES ACTIVITATS ESTIU                    ,061,34   ,22    ,9719,0,,7253.95
2025,011  ,9201 ,226011 ,ATENCIONS PROTOCOL·LÀRIES                         ,011,92   ,22    ,50000,1614.81,,30377.68
2025,042  ,336  ,227991 ,ACTIVITATS HISTÒRIA LOCAL                         ,042,33   ,22    ,34000,1000,,10982.81
2025,041  ,326  ,48911  ,TRANSF CORRENTS ESCOLA PEPA COLOMER               ,041,326  ,48911 ,4284,0,,1744
2025,044  ,2312 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,2    ,1     ,600,0,,4429.89
2025,012  ,920  ,22500  ,TRIBUTS ESTATALS (Impost producció elèctrica)     ,012,92   ,22    ,1000,0,,0
2025,061  ,3423 ,121031 ,ALTRES COMPLEMENTS                                ,,3    ,1     ,1500,0,,5374.08
2025,012  ,920  ,22104  ,VESTUARI                                          ,012,92   ,22    ,25000,0,,1380.11
2025,061  ,3421 ,13002  ,ALTRES REMUNERACIONS PERSONAL LABORAL FIX         ,,3    ,1     ,7431.29,0,,5181.24
2025,044  ,2311 ,2279901,SERVEIS DE SUPORT PSICOLOGIC - SERVEIS BÀSICS     ,044,23   ,22    ,38300,6164.76,,31844.2
2025,0112 ,4311 ,22799  ,"CONTR PREST SERVEIS -FIRA AVÍCOLA, MOSTRA CIAL    ",011,43   ,22    ,245000,37871,,11920.63
2025,041  ,3232 ,221042 ,VESTUARI EDUCACIÓ                                 ,041,32   ,22    ,8500,0,,1557.49
2025,051  ,2413 ,1430   ,PLANS OCUPACIÓ                                    ,051,2413 ,1430  ,223000,0,,112341.99
2025,041  ,3231 ,226992 ,DESP DIVERSES-ESCOLA BRESSOL                      ,041,32   ,22    ,9000,0,,1175.67
2025,064  ,334  ,465    ,TRANSF CONVENI ASS. MOBILITAT INTERN. JOVES       ,064,334  ,465   ,1702,0,,1227.16
2025,063  ,2312 ,227995 ,CONTR PREST SERVEIS GENT GRAN                     ,063,23   ,22    ,405092,3809,,276974.89
2025,014  ,4411 ,464    ,TRANSF TRANSPORT URBÀ                             ,014,4411 ,464   ,410435,0,,0
2025,021  ,150  ,22699  ,DESP DIVERSES                                     ,021,15   ,22    ,600,0,,741.35
2025,021  ,150  ,22706  ,ESTUDIS I TREBALLS TÈCNICS                        ,021,15   ,22    ,9000,11000,,726
2025,021  ,150  ,46601  ,QUOTA MEMBRE ASSOC MUNICIPIS I ENTITATS PER L'AIGU,021,150  ,46601 ,2240,66.85,,2306.85
2025,021  ,150  ,49001  ,QUOTA MEMBRE AIRPORT REGIONS COUNCIL (ARC)        ,021,150  ,49001 ,9000,23334,,32334
2025,021  ,1500 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,35120.88,0,,25817.56
2025,021  ,1500 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,22082.9,0,,14111.14
2025,021  ,151  ,464    ,APORTACIÓ CONVENI DISCIPLINA URBANÍSTICA AMB      ,021,151  ,464   ,16686,16685.19,,33370.38
2025,021  ,1513 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,82177.98,0,,52046.54
2025,021  ,1513 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,46325.28,0,,27119.01
2025,021  ,1513 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,40098.56,0,,22551.48
2025,021  ,1513 ,12006  ,TRIENNIS                                          ,,1    ,1     ,34326.55,0,,23903.97
2025,021  ,1513 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,99337.6,0,,66517.53
2025,021  ,1513 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,244849.04,0,,163105.02
2025,021  ,1513 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,45864.14,0,,33310.05
2025,014  ,933  ,632    ,INV MILLORA EQUIPAMENTS I SERVEIS                 ,014,933  ,632   ,2050187.5,1347269.79,,462360.31
2025,042  ,333  ,227997 ,CONTR PREST SERVEIS CÈNTRIC                       ,042,33   ,22    ,353369,0,,235579.28
2025,042  ,333  ,22102  ,CONSUM GAS EDIFICIS CULTURA                       ,,3    ,221   ,77648,9481.34,,63832.16
2025,012  ,9205 ,12006  ,TRIENNIS                                          ,,9    ,1     ,18505.96,0,,14763.62
2025,021  ,1514 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,46325.28,0,,33877.71
2025,021  ,1514 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,23653.28,0,,8596.66
2025,021  ,1514 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,52962.7,0,,30950.14
2025,021  ,1514 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,34358.86,0,,24893.7
2025,021  ,1514 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,104979.88,-12000,,63941.09
2025,021  ,1521 ,467    ,APORT. CONSORCI PRAT NORD                         ,021,1521 ,467   ,25000,0,,0
2025,021  ,1521 ,48903  ,TRANSF CORRENTS AJUTS AL LLOGUER                  ,021,1521 ,48903 ,65000,0,,0
2025,021  ,231  ,48905  ,SUBVENCIONS I AJUTS HABITATGE                     ,021,231  ,48905 ,58000,9000,,0
2025,031  ,1321 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,52681.32,0,,38726.34
2025,051  ,326  ,227993 ,SERV COMPL EDUCACIO A DESENVOLUPAMENT ECONOMIC    ,051,32   ,22    ,3600,0,,579.35
2025,031  ,1321 ,12006  ,TRIENNIS                                          ,,1    ,1     ,26947.39,0,,15047.95
2025,031  ,1321 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,65667.28,0,,43928.41
2025,031  ,1321 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,122542.08,0,,85210.27
2025,031  ,1321 ,22699  ,DESPESES DIVERSES - VIA PÚBLICA                   ,031,13   ,22    ,850,0,,200
