#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,021  ,1513 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,203601.48,0,,69796.61
2025,031  ,1321 ,12006  ,TRIENNIS                                          ,,1    ,1     ,26947.39,0,,10310.23
2025,031  ,1321 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,65667.28,0,,29671.01
2025,031  ,1321 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,159329.52,0,,74394.26
2025,031  ,1321 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,122542.08,0,,45013.64
2025,031  ,1321 ,22699  ,DESPESES DIVERSES - VIA PÚBLICA                   ,031,13   ,22    ,850,0,,200
2025,031  ,1500 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,8780.2,0,,0
2025,031  ,1500 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,38464.98,0,,18929.65
2025,031  ,1500 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,47182.47,0,,21470.91
2025,031  ,1500 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,35086.22,0,,22722.84
2025,031  ,1500 ,12006  ,TRIENNIS                                          ,,1    ,1     ,17730.49,0,,9965.14
2025,031  ,1500 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,59643.67,0,,28425.6
2025,031  ,1500 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,173493.32,0,,85037.55
2025,031  ,1500 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,211077.87,0,,105400.61
2025,031  ,1500 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,1000,0,,1094.14
2025,031  ,1500 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,1000,0,,85.07
2025,031  ,1500 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,185741.04,0,,74727.16
2025,031  ,1501 ,12005  ,SOUS DEL GRUP E                                   ,,1    ,1     ,18265.07,0,,6953.92
2025,031  ,1501 ,12006  ,TRIENNIS                                          ,,1    ,1     ,2512.55,0,,1284.77
2025,031  ,1501 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,6794.97,0,,2728.56
2025,031  ,1501 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,27011.31,0,,10549.83
2025,031  ,1501 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,331574.14,0,,117264.42
2025,031  ,1321 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,65160.14,0,,28010.88
2025,031  ,1532 ,226991 ,ALTRES DESPESES EXECUCIONS SUBSIDIÀRIES           ,031,1532 ,226991,13700,9495.87,,13176.9
2025,031  ,1532 ,619    ,INVERSIO MILLORA ESPAI PUBLIC                     ,031,1532 ,619   ,874839.82,43511.43,,66568.09
2025,031  ,160  ,22700  ,"CLAVEGUERAM, CONT PREST SERVEIS                   ",031,16   ,22    ,1319816,-1314038.98,,5777.02
2025,031  ,171  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,58059.66,0,,13134.84
2025,031  ,171  ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,475,0,,0
2025,031  ,171  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,21530.64,0,,-61.66
2025,031  ,171  ,634    ,INVERSIÓ ELEMENTS DE TRANSPORT                    ,031,171  ,634   ,20000,185739,,17425.16
2025,031  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,66588.76,0,,33294.38
2025,031  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,18845.88,0,,8180.2
2025,031  ,920  ,22101  ,CONSUM AIGUA EDIFICIS MPALS                       ,,9    ,221   ,45920,0,,0
2025,032  ,161  ,44901  ,TRANSF CORRENTS REBUTS APSA FAMILIES VULNERABLES  ,032,161  ,44901 ,25000,0,,0
2025,032  ,170  ,11000  ,RETRIBUCIONS BÀSIQUES PERSONAL EVENTUAL           ,,1    ,1     ,83092.21,0,,41461.62
2025,032  ,170  ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,35120.88,0,,8780.21
2025,032  ,170  ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,23162.7,0,,7720.88
2025,032  ,170  ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,47306.56,0,,22263.97
2025,032  ,170  ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,30073.92,0,,11749.31
2025,032  ,170  ,12006  ,TRIENNIS                                          ,,1    ,1     ,19679.78,0,,8996.73
2025,032  ,170  ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,62625.5,0,,23326.27
2025,032  ,170  ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,149333.52,0,,53900.71
2025,032  ,170  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,201127.46,0,,94033.88
2025,032  ,170  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,198970.42,0,,62512.8
2025,044  ,231  ,22199  ,SUBMINISTRAMENT AREA                              ,044,23   ,22    ,2000,4785.55,,6540.05
2025,031  ,1501 ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,,1    ,1     ,5000,0,,6357.1
2025,051  ,2411 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,2    ,1     ,40418.14,3036,,20160.46
2025,051  ,2411 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,2    ,1     ,99100.96,8629,,49572.03
2025,051  ,2411 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,2    ,1     ,83030.87,0,,41477.81
2025,051  ,2411 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,2    ,1     ,122852.09,6966,,43905.15
2025,051  ,2412 ,12001  ,SOUS DEL GRUP A2                                  ,051,2412 ,12001 ,305497.94,177675.38,,200806.09
2025,051  ,2412 ,12006  ,TRIENNIS                                          ,051,2412 ,12006 ,48768.38,615.69,,26183.12
2025,051  ,2412 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,051,2412 ,12100 ,124978.3,66010,,81581.44
2025,051  ,2412 ,12101  ,COMPLEMENT ESPECÍFIC                              ,051,2412 ,12101 ,245796.04,107720.64,,156793.5
2025,051  ,2412 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL            ,051,2412 ,13000 ,170398.98,0,,85114.25
2025,051  ,2412 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,051,2412 ,16000 ,285787.29,119669.49,,120813.94
2025,051  ,2412 ,22199  ,SUBMINISTRAMENTS DIVERSOS -FORMACIÓ I OCUPACIÓ    ,051,2412 ,22199 ,8000,48350,,5645.27
2025,051  ,2412 ,221991 ,SUBMINISTRAMENTS DIVERSOS OCUPACIÓ                ,051,2412 ,221991,8000,1500,,3035.04
2025,051  ,2412 ,224    ,ASSEGURANCES                                      ,051,2412 ,224   ,4500,650,,1106.43
2025,051  ,2412 ,226021 ,PUBLICITAT I DIFUSIÓ  FORMACIÓ                    ,051,2412 ,226021,500,0,,0
2025,051  ,2412 ,226022 ,PUBLICITAT I DIFUSIÓ  OCUPACIÓ                    ,051,2412 ,226022,500,3000,,0
2025,051  ,2412 ,22699  ,DESP VARIES -FORMACIÓ I OCUPACIÓ                  ,051,2412 ,22699 ,2000,0,,292.3
2025,051  ,2412 ,226992 ,DESP VARIES -OCUPACIÓ                             ,051,2412 ,226992,1000,800,,298.64
